trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'a': 0.65, 'e': 0.2934227215252159}",20,13,5.881635768056938,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.65, 'e': 0.29048849430996376}",25,0,4.679996547435092,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
124,False,"{'a': 0.65, 'e': 0.2875836093668641}",20,0,-30.11095916937731,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
125,False,"{'a': 0.65, 'e': 0.28470777327319546}",20,12,15.514198736889208,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.65, 'e': 0.2818606955404635}",20,2,2.304433760483458,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.65, 'e': 0.27904208858505886}",25,2,-2.9989542805323564,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.65, 'e': 0.2762516676992083}",20,9,4.835313698635031,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.65, 'e': 0.2734891510222162}",25,15,6.6859090255450155,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.65, 'e': 0.27075425951199406}",25,0,-46.71125518691593,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
131,False,"{'a': 0.65, 'e': 0.2680467169168741}",20,0,-76.28925081690139,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
132,False,"{'a': 0.65, 'e': 0.26536624974770534}",20,0,10.88287690670935,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.65, 'e': 0.2627125872502283}",25,19,13.749677644507324,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.65, 'e': 0.26008546137772603}",25,11,5.9547438825331795,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.65, 'e': 0.25748460676394874}",20,8,1.1890424070574224,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.65, 'e': 0.2549097606963093}",20,12,2.6955030921252527,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.65, 'e': 0.2523606630893462}",25,12,-50.432795275391456,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
138,False,"{'a': 0.65, 'e': 0.2498370564584527}",20,9,-64.83399643633072,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
139,False,"{'a': 0.65, 'e': 0.24733868589386818}",30,24,11.498391761549405,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.65, 'e': 0.24486529903492948}",20,8,5.6048191275337835,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
